#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTOPTA_ancrel_0137;I knew those druids would be a bad influence.;Je savais que ces Grecs auraient une mauvaise influence.;Ich wusste, dass diese Druiden einen schlechten Einfluss haben würden.;;Sabía que los Griegos serían una mala influencia.;;;;;;;;;x
EVTDESC_ancrel_0139;[From.GetTitledFirstName] has returned from the Circle and the Sons of Gwydion as a changed man. He is wiser, more confident in his own abilities and more knowledgable in matters of war. It seems the time spent with the Wolflings did him good.;[From.GetTitledFirstName]est de retour de Miklagård et de la Garde varègue et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;[From.GetTitledFirstName] ist aus dem Zirkel und von den Söhnen Gwydions als ein veränderter Mann zurückgekehrt. Er ist weiser, hat mehr Vertrauen in seine eigenen Fähigkeiten und ist in Kriegsangelegenheiten bewanderter. Die Zeit, die er mit den Wölflingen verbracht hat, scheint ihm gut getan zu haben.;;[From.GetTitledFirstName] ha vuelto de Miklagård y de la Guardia Varangiana como un hombre cambiado. Es más sabio, más seguro de sus propias habilidades y más eficiente en asuntos de guerra. Parece que el tiempo pasado en Grecia le ha hecho bien.;;;;;;;;;x
EVTOPTA_ancrel_0139;Welcome home, [From.GetFirstName]!;Bienvenue chez toi, [From.GetFirstName] !;Willkommen zu Hause, [From.GetFirstName]!;;¡Bienvenido, [From.GetFirstName]!;;;;;;;;;x
EVTDESC_ancrel_0141;Several former Wolves of the Sons of Gwydion have recently returned home after serving the Circle, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while raiding in the south. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens gardes varègues sont de retour de leur service pour le roi des Grecs depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne du Serkland. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;Mehrere ehemalige Wölfe der Söhne Gwydions sind kürzlich nach Hause zurückgekehrt, nachdem sie dem Zirkel gedient haben, und sie bringen sehr ernste Nachrichten. Euer Sohn, [From.GetTitledFirstName], ist bei einem Raubzug im Süden im Kampf gefallen. Sie versichern Euch, dass er dem Feind tapfer entgegentrat und viele tötete, bevor er von ihnen überwältigt wurde.;;Varios ex guardias Varangianos han regresado recientemente a casa después de servir al rey Griego, y traen noticias graves. Tu hijo, [From.GetTitledFirstName], cayó en la batalla mientras estaba de campaña en Serkland. Te aseguran que se enfrentó a su enemigo con valentía y que mató a muchos antes de que sus números lo abrumaron.;;;;;;;;;x
EVTOPTA_ancrel_0141;He died a hero...;Il est mort en héros...;Er starb als Held...;;Murió como un héroe…;;;;;;;;;x
EVTDESC_ancrel_0143;[From.GetTitledFirstName] has at last returned from the circle in a caravan filled with the spoils of war! Apparently the great druids are generous to those who serve the gods well, and there is gold here from all over the world. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Grèce, à bord d'un drakkar contenant un impressionnant butin de guerre ! Le grand roi des Grecs est apparemment très généreux avec ceux qui le servent bien, et il y a de l'or de tous les coins de la Grèce, du Serkland et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;[From.GetTitledFirstName] ist endlich mit einer Karawane voller Kriegsbeute aus dem Kreis zurückgekehrt! Offenbar sind die großen Druiden großzügig zu denen, die den Göttern gut dienen, und es gibt hier Gold aus der ganzen Welt. Dein Sohn besteht darauf, diese Reichtümer mit dir, seinem liebenden Vater, zu teilen.;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un drakkar lleno de botines de guerra! Al parecer, el gran rey de los Griegos es generoso con los que le sirven bien, y hay oro aquí de todas partes del reino griego, Serkland y más allá. Tu hijo insiste en compartir estas riquezas contigo, su querido padre.;;;;;;;;;x
EVTOPTA_ancrel_0143;[From.GetFirstName], you make me proud!;[From.GetFirstName], tu me remplis de fierté !;[From.GetFirstName], du machst mich stolz!;;¡[From.GetFirstName], estoy orgulloso de ti!;;;;;;;;;x
EVTDESC_ancrel_0144;Upon learning of the death of your father, you left the Sons of Gwydion and departed the Circle for home in a caravan filled with loot from your campaigns. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné la Garde varègue et quittez Miklagård sur un drakkar pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en Serkland. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;Als du vom Tod deines Vaters erfuhrst, hast du die Söhne Gwydions verlassen und bist mit einer Karawane voller Beute aus deinen Feldzügen aus dem Zirkel nach Hause gezogen. Es war eine lange und gefährliche Reise zurück, aber Ihr steht nun fest auf dem Boden des Landes, das Euer Geburtsrecht ist. Der Thron gehört Euch.;;Al enterarte de la muerte de tu padre, dejas la Guardia Varangiana y dejas Miklagard para volver a casa en un drakkar lleno de botines de tus campañas en Serkland. Fue un largo y peligroso viaje de regreso, pero tus pies están ahora firmemente plantados en la tierra que es tu patrimonio. El trono es tuyo.;;;;;;;;;x
EVTOPTA_ancrel_0144;It is as I remember it.;C'est comme dans mes souvenirs.;Es ist so, wie ich es in Erinnerung habe.;;Es tal y como lo recordaba.;;;;;;;;;x
EVTNAME_ancrel_1150;The Keepers of Tír na nÓg;;Die Wächter von Tír na nÓg;;;;;;;;;;;x
EVTDESC_ancrel_1150;You have decided to fund the Keepers of Tír na nÓg, a sacred band of warriors loyal only to the Druids and to the Gods, dressed in wolf skins over mail and venerating the famed warriors Fionn and Cuchullain.\n\nThis new warband will not only form a powerful shock force against the isle's many enemies, but will also channel the fiery spirits of the younger, restless sons of the Éire.;Les pillards varègues qui, depuis le nord lointain, voguent sur les fleuves qui se jettent dans la mer Noire, ont prouvé qu'ils étaient de redoutables guerriers. Vous avez réussi à recruter un grand nombre d'entre eux pour monter une garde personnelle de soldats totalement loyaux envers leur [Root.GetTitle].\n\nL'avantage de cette nouvelle Garde varègue est non seulement de former une puissante force de frappe contre les nombreux ennemis de l'empire, mais aussi d'être détachée, par ses racines étrangères, des complots et des jeux de pouvoir qui ont lieu au palais et qui sont monnaie courante à Constantinople.;Ihr habt beschlossen, die Wächter von Tír na nÓg zu gründen, eine heilige Gruppe von Kriegern, die nur den Druiden und den Göttern gegenüber loyal sind, die in Wolfsfelle gekleidet sind und die berühmten Krieger Fionn und Cuchullain verehren. Diese neue Kriegsgruppe wird nicht nur eine mächtige Stoßtruppe gegen die vielen Feinde der Insel bilden, sondern auch die feurigen Geister der jüngeren, ruhelosen Söhne von Éire kanalisieren.;;Los invasores Varangianos navegando desde el lejano norte por los ríos que llevan al Mar Negro han demostrado ser guerreros formidables. Tú has logrado reclutar un gran número de ellos para una guardia personal leal sólo al [Root.GetTitle].\n\nEsta nueva Guardia Varangiana no sólo formará una gran fuerza contra los muchos enemigos del Imperio, sino que también sus raíces extranjeras impedirán que se enreden demasiado en la intriga palaciega y las luchas de poder que son tan comunes en Constantinopla.;;;;;;;;;x
EVTOPTA_ancrel_1150;Go my brothers.;Ils devraient bien me servir.;Geht, meine Brüder.;;Me servirán bien.;;;;;;;;;x
EVTDESC_ancrel_1151;[From.GetFirstName], the great king of the Gaels, is distraught over the ravages braught over by our landless sons. Knowing well their need for battle, he has decided to encourage a sacred band of brothers known as the Keepers of Tír na nÓg.\n\nThose who serve him and the Druids are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed to pick up and honor Fionn's old traditions.;[From.GetFirstName], le grand roi des Grecs, est angoissé par le peu de courage de ses compatriotes. Connaissant bien notre aptitude au combat, il a décidé de composer son équipe de gardes du corps uniquement de guerriers nordiques.\n\nCeux qui le servent dans la grande cité de Miklagård sont généreusement récompensés et, aujourd'hui encore, les jeunes hommes avides de richesse et d'aventure quittent pour la Grèce afin de le servir.;[From.GetFirstName], der große König der Gälen, ist verzweifelt über die Verwüstungen, die unsere landlosen Söhne anrichten. Da er weiß, dass sie den Kampf brauchen, hat er beschlossen, eine heilige Gruppe von Brüdern zu fördern, die als Wächter von Tír na nÓg bekannt ist. Diejenigen, die ihm und den Druiden dienen, werden großzügig belohnt, und schon jetzt sind viele unserer jungen Männer, die sich nach Reichtum und Abenteuern sehnen, aufgebrochen, um Fionns alten Namen aufzugreifen und zu ehren.;;[From.GetFirstName], el gran rey de los Griegos, está perturbado por el poco ánimo de sus compatriotas. Conociendo bien nuestra habilidad en la batalla, ha decidido formar una guardia que consiste únicamente de guerreros Nórdicos.\n\nAquellos que le sirven en la gran ciudad de Miklagård son generosamente recompensados, e incluso ahora muchos de nuestros jóvenes, ávidos de riquezas y aventura, han partido hacia Grecia para levantar su estandarte.;;;;;;;;;x
EVTOPTA_ancrel_1151;May they find the excitement they yearn.;Puissent-ils trouver l'action à laquelle ils aspirent.;Mögen sie die Aufregung finden, nach der sie sich sehnen.;;Espero que encuentren la emoción que anhelan.;;;;;;;;;x
EVTDESC_ancrel_1160;Your son, [From.GetTitledFirstName], has decided to join with the Keepers of Tír na nÓg and seek his fortune at their side! Although he will no doubt gain both riches and valuable battle experience in service of the druids, there will be many perils that could well cost him his life.;Votre fils, [From.GetTitledFirstName], a décidé de s'enrôler dans la Garde varègue à Miklagård et d'y chercher fortune ! Même si le fait d'être au service du roi grec va sans doute l'enrichir d'une importante expérience de combat, de nombreux dangers pourront lui coûter la vie.;Euer Sohn, [From.GetTitledFirstName], hat beschlossen, sich den Wächter von Tír na nÓg anzuschließen und sein Glück an ihrer Seite zu suchen! Obwohl er im Dienst der Druiden zweifellos sowohl Reichtümer als auch wertvolle Kampferfahrungen sammeln wird, wird er sich vielen Gefahren aussetzen, die ihn durchaus das Leben kosten könnten.;;¡Tu hijo, [From.GetTitledFirstName], ha decidido alistarse con la Guardia Varangian en Miklagård y buscar fortuna allí! Aunque, sin duda, obtendrá riquezas y valiosa experiencia en batalla al servicio del rey Griego, habrá muchos peligros que bien podrían costarle la vida.;;;;;;;;;x
EVTOPTA_ancrel_1160;I will not allow it!;Je ne permettrai pas !;Das werde ich nicht zulassen!;;¡No lo permitiré!;;;;;;;;;x
EVTOPTB_ancrel_1160;Go to the Circle and make me proud, son.;Fils, va à Miklagård et fais-moi honneur.;Geh zum Zirkel und mach mich stolz, mein Sohn.;;Vete a Miklagård y hazme sentirme orgulloso, hijo.;;;;;;;;;x
EVTDESC_ancrel_1165;A heavily scarred warrior clad in strange Ogham inscribed armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from the Keepers of Tír na nÓg!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu de Grèce !;Ein schwer vernarbter Krieger in einer seltsamen, mit Ogham beschrifteten Rüstung nähert sich deinem Thron, und bevor er entwaffnet werden kann, nimmt der Fremde deiner Wache mit einer schnellen, fließenden Bewegung den Speer ab und wirft ihn zur Seite. Andere Wachen eilen nach vorne, aber ihr hebt die Hand, um sie aufzuhalten. Der Fremde ist [From.GetTitledFirstName], endlich von der Wächter von Tír na nÓg zurückgekehrt!;;Un guerrero con grandes cicatrices y vestido con una extraña armadura se acerca a tu trono, y antes de que pueda ser desarmado, el desconocido se quita de encima a la guardia con un movimiento rápido y fluido de su lanza, y la arroja a un lado. Otros guardias se apresuran hacia él, pero levantas la mano para detenerlos. ¡El desconocido es [From.GetTitledFirstName], por fin ha regresado de Grecia!;;;;;;;;;x
EVTOPTA_ancrel_1165;[From.GetFirstName]! You've... changed!;[From.GetFirstName] ! Tu as... changé !;[From.GetFirstName]! Du hast dich... verändert!;;¡[From.GetFirstName]! ¡Has… cambiado!;;;;;;;;;x
EVTDESC_ancrel_1169;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a caravan coming from the Circle. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de Miklagård. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;Ein gebrechlicher, gewandeter Mann wird in Euren Thronsaal geführt, und Eure Wachen erklären, dass er gerade mit einer Karawane aus dem Zirkel gekommen ist. Der Mann würde nur immer wieder deinen Namen sprechen, und so wurde er zu dir gebracht. Zu deinem Entsetzen erkennst du ihn schließlich als [From.GetTitledFirstName]!;;Un hombre frágil vestido con túnica es conducido a tu sala del trono, y tus guardias explican que acaba de llegar en un barco procedente de Miklagård. El hombre sólo dice tu nombre una y otra vez, y por eso lo han llevado a ti. Para tu horror, ¡lo reconoces por fin como [From.GetTitledFirstName]!;;;;;;;;;x
